DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1714935127.4859636
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/idna/package_data.py first seen with mtime 1712615776.0214653
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/joblib/_cloudpickle_wrapper.py first seen with mtime 1712615775.781471
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py first seen with mtime 1712615779.1493895
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/model_selection/__init__.py first seen with mtime 1712615785.4212377
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/template/backends/__init__.py first seen with mtime 1714935127.5179653
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/utils/_show_versions.py first seen with mtime 1712615785.613233
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/Téléchargements/Projet chef d'oeuvre/projet_final/Mon_Appli/models.py first seen with mtime 1714936250.3587189
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/admin/widgets.py first seen with mtime 1714935127.1739478
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/window/common.py first seen with mtime 1712615788.8971534
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/h11/_connection.py first seen with mtime 1712615776.1374626
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/psutil/_psposix.py first seen with mtime 1712615771.6095722
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/fft/_pocketfft/realtransforms.py first seen with mtime 1712615778.4654062
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sentry_sdk/scrubber.py first seen with mtime 1716656099.1402423
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/starlette/middleware/base.py first seen with mtime 1712615785.2292423
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/messages/middleware.py first seen with mtime 1714935127.393959
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/interpolate/_rbf.py first seen with mtime 1712615778.673401
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/linalg/_eigen/__init__.py first seen with mtime 1712615779.0213926
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/spatial/_kdtree.py first seen with mtime 1712615778.225412
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/aniso8601/interval.py first seen with mtime 1714204961.5545242
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/operations.py first seen with mtime 1714935127.4939642
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/graphlib.py first seen with mtime 1688584059.1211617
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/views/decorators/common.py first seen with mtime 1714935127.5259657
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/array_algos/masked_accumulations.py first seen with mtime 1712615788.9091532
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/contextlib.py first seen with mtime 1688584059.101162
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/linear_model/_perceptron.py first seen with mtime 1712615785.4372373
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphene/types/mountedtype.py first seen with mtime 1714204963.8385172
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/preprocessing/_function_transformer.py first seen with mtime 1712615785.8452275
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/anyio/abc/__init__.py first seen with mtime 1712615785.121245
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/core/mail/message.py first seen with mtime 1714935127.4819634
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/lib-dynload/_hashlib.cpython-310-x86_64-linux-gnu.so first seen with mtime 1688584077.3209631
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/flask/json/provider.py first seen with mtime 1714204963.7505176
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/stats/_boost/beta_ufunc.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615778.3534088
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/urllib3/util/util.py first seen with mtime 1712615769.1096327
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_shgo_lib/__init__.py first seen with mtime 1712615779.1653893
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/asyncio/threads.py first seen with mtime 1688584059.389159
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/httpx/__init__.py first seen with mtime 1712615795.1130028
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/groupby/base.py first seen with mtime 1712615788.9051533
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pygments/formatters/html.py first seen with mtime 1712615770.4735997
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/stats/distributions.py first seen with mtime 1712615778.2854104
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/views/decorators/csrf.py first seen with mtime 1714935127.5259657
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlalchemy/sql/functions.py first seen with mtime 1714204963.0305197
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/_libs/index.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615789.0531497
